date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Sep%202022%2011:10:06%20GMT	https://corgiorgy.com/robots.txt		(from )
15:40:07	3555/3555	---MCZ	200	added ('OK')	text/html	etag:W/%225f4edf4e-de3%22	https://corgiorgy.com/	corgiorgy.com/index.html	(from )
15:40:08	251/251	---M--	200	added ('OK')	application/javascript	etag:%225c939c5d-fb%22	https://corgiorgy.com/corgiscript.js	corgiorgy.com/corgiscript.js	(from https://corgiorgy.com/)
15:40:08	95931/95931	---M--	200	added ('OK')	application/javascript	etag:%225c939c5d-176bb%22	https://corgiorgy.com/jquery.min.js	corgiorgy.com/jquery.min.js	(from https://corgiorgy.com/)
15:40:09	4655/4655	---M--	200	added ('OK')	application/javascript	etag:%225c939c5d-122f%22	https://corgiorgy.com/jquery.marquee.min.js	corgiorgy.com/jquery.marquee.min.js	(from https://corgiorgy.com/)
15:40:10	2773/2773	---M--	200	added ('OK')	text/css	etag:%225c939c5d-ad5%22	https://corgiorgy.com/corgistyle.css	corgiorgy.com/corgistyle.css	(from https://corgiorgy.com/)
15:40:12	2554/2554	---M--	200	added ('OK')	image/svg+xml	etag:%225c939c5d-9fa%22	https://corgiorgy.com/unmute.svg	corgiorgy.com/unmute.svg	(from https://corgiorgy.com/)
15:40:13	160889/160889	---M--	200	added ('OK')	image/gif	etag:%225c939c5d-27479%22	https://corgiorgy.com/corgiswimflip.gif	corgiorgy.com/corgiswimflip.gif	(from https://corgiorgy.com/)
15:40:13	1356/1356	---M--	200	added ('OK')	image/svg+xml	etag:%225c939c5d-54c%22	https://corgiorgy.com/mute.svg	corgiorgy.com/mute.svg	(from https://corgiorgy.com/)
15:40:15	39488/39488	---M--	200	added ('OK')	image/gif	etag:%225c939c5d-9a40%22	https://corgiorgy.com/swimcorgis.gif	corgiorgy.com/swimcorgis.gif	(from https://corgiorgy.com/corgistyle.css)
15:40:15	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Sep%202022%2011:10:15%20GMT	https://corgiorgy.com/Mute_Icon.svg	corgiorgy.com/Mute_Icon.svg	(from https://corgiorgy.com/unmute.svg)
